Jahr,Nationalität,Geschlecht,Familienstatus,Alter,Anzahl
31.12.2016,Ausländer,weiblich,Lebenspartnerschaft,1,-
31.12.2016,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2016,Ausländer,weiblich,Lebenspartner verstorben,1,-
31.12.2017,Deutsche,männlich,ledig,1,354556
31.12.2017,Deutsche,männlich,verheiratet,1,-
31.12.2017,Deutsche,männlich,verwitwet,1,-
31.12.2017,Deutsche,männlich,geschieden,1,-
31.12.2017,Deutsche,männlich,Lebenspartnerschaft,1,-
31.12.2017,Deutsche,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2017,Deutsche,männlich,Lebenspartner verstorben,1,-
31.12.2017,Deutsche,weiblich,ledig,1,338305
31.12.2017,Deutsche,weiblich,verheiratet,1,-
31.12.2017,Deutsche,weiblich,verwitwet,1,-
31.12.2017,Deutsche,weiblich,geschieden,1,-
31.12.2017,Deutsche,weiblich,Lebenspartnerschaft,1,-
31.12.2017,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2017,Deutsche,weiblich,Lebenspartner verstorben,1,-
31.12.2017,Ausländer,männlich,ledig,1,53209
31.12.2017,Ausländer,männlich,verheiratet,1,-
31.12.2017,Ausländer,männlich,verwitwet,1,-
31.12.2017,Ausländer,männlich,geschieden,1,-
31.12.2017,Ausländer,männlich,Lebenspartnerschaft,1,-
31.12.2017,Ausländer,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2017,Ausländer,männlich,Lebenspartner verstorben,1,-
31.12.2017,Ausländer,weiblich,ledig,1,50079
31.12.2017,Ausländer,weiblich,verheiratet,1,-
31.12.2017,Ausländer,weiblich,verwitwet,1,-
31.12.2017,Ausländer,weiblich,geschieden,1,-
31.12.2017,Ausländer,weiblich,Lebenspartnerschaft,1,-
31.12.2017,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2017,Ausländer,weiblich,Lebenspartner verstorben,1,-
31.12.2018,Deutsche,männlich,ledig,1,354138
31.12.2018,Deutsche,männlich,verheiratet,1,-
31.12.2018,Deutsche,männlich,verwitwet,1,-
31.12.2018,Deutsche,männlich,geschieden,1,-
31.12.2018,Deutsche,männlich,Lebenspartnerschaft,1,-
31.12.2018,Deutsche,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2018,Deutsche,männlich,Lebenspartner verstorben,1,-
31.12.2018,Deutsche,weiblich,ledig,1,336691
31.12.2018,Deutsche,weiblich,verheiratet,1,-
31.12.2018,Deutsche,weiblich,verwitwet,1,-
31.12.2018,Deutsche,weiblich,geschieden,1,-
31.12.2018,Deutsche,weiblich,Lebenspartnerschaft,1,-
31.12.2018,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2018,Deutsche,weiblich,Lebenspartner verstorben,1,-
31.12.2018,Ausländer,männlich,ledig,1,54223
31.12.2018,Ausländer,männlich,verheiratet,1,-
31.12.2018,Ausländer,männlich,verwitwet,1,-
31.12.2018,Ausländer,männlich,geschieden,1,-
31.12.2018,Ausländer,männlich,Lebenspartnerschaft,1,-
31.12.2018,Ausländer,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2018,Ausländer,männlich,Lebenspartner verstorben,1,-
31.12.2018,Ausländer,weiblich,ledig,1,51322
31.12.2018,Ausländer,weiblich,verheiratet,1,-
31.12.2018,Ausländer,weiblich,verwitwet,1,-
31.12.2018,Ausländer,weiblich,geschieden,1,-
31.12.2018,Ausländer,weiblich,Lebenspartnerschaft,1,-
31.12.2018,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2018,Ausländer,weiblich,Lebenspartner verstorben,1,-
31.12.2019,Deutsche,männlich,ledig,1,351062
31.12.2019,Deutsche,männlich,verheiratet,1,-
31.12.2019,Deutsche,männlich,verwitwet,1,-
31.12.2019,Deutsche,männlich,geschieden,1,-
31.12.2019,Deutsche,männlich,Lebenspartnerschaft,1,-
31.12.2019,Deutsche,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2019,Deutsche,männlich,Lebenspartner verstorben,1,-
31.12.2019,Deutsche,weiblich,ledig,1,334082
31.12.2019,Deutsche,weiblich,verheiratet,1,-
31.12.2019,Deutsche,weiblich,verwitwet,1,-
31.12.2019,Deutsche,weiblich,geschieden,1,-
31.12.2019,Deutsche,weiblich,Lebenspartnerschaft,1,-
31.12.2019,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2019,Deutsche,weiblich,Lebenspartner verstorben,1,-
31.12.2019,Ausländer,männlich,ledig,1,56148
31.12.2019,Ausländer,männlich,verheiratet,1,-
31.12.2019,Ausländer,männlich,verwitwet,1,-
31.12.2019,Ausländer,männlich,geschieden,1,-
31.12.2019,Ausländer,männlich,Lebenspartnerschaft,1,-
31.12.2019,Ausländer,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2019,Ausländer,männlich,Lebenspartner verstorben,1,-
31.12.2019,Ausländer,weiblich,ledig,1,52840
31.12.2019,Ausländer,weiblich,verheiratet,1,-
31.12.2019,Ausländer,weiblich,verwitwet,1,-
31.12.2019,Ausländer,weiblich,geschieden,1,-
31.12.2019,Ausländer,weiblich,Lebenspartnerschaft,1,-
31.12.2019,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2019,Ausländer,weiblich,Lebenspartner verstorben,1,-
31.12.2020,Deutsche,männlich,ledig,1,345887
31.12.2020,Deutsche,männlich,verheiratet,1,-
31.12.2020,Deutsche,männlich,verwitwet,1,-
31.12.2020,Deutsche,männlich,geschieden,1,-
31.12.2020,Deutsche,männlich,Lebenspartnerschaft,1,-
31.12.2020,Deutsche,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2020,Deutsche,männlich,Lebenspartner verstorben,1,-
31.12.2020,Deutsche,weiblich,ledig,1,328500
31.12.2020,Deutsche,weiblich,verheiratet,1,-
31.12.2020,Deutsche,weiblich,verwitwet,1,-
31.12.2020,Deutsche,weiblich,geschieden,1,-
31.12.2020,Deutsche,weiblich,Lebenspartnerschaft,1,-
31.12.2020,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2020,Deutsche,weiblich,Lebenspartner verstorben,1,-
31.12.2020,Ausländer,männlich,ledig,1,56209
31.12.2020,Ausländer,männlich,verheiratet,1,-
31.12.2020,Ausländer,männlich,verwitwet,1,-
31.12.2020,Ausländer,männlich,geschieden,1,-
31.12.2020,Ausländer,männlich,Lebenspartnerschaft,1,-
31.12.2020,Ausländer,männlich,Lebenspartnerschaft aufgehoben,1,-
31.12.2020,Ausländer,männlich,Lebenspartner verstorben,1,-
31.12.2020,Ausländer,weiblich,ledig,1,52997
31.12.2020,Ausländer,weiblich,verheiratet,1,-
31.12.2020,Ausländer,weiblich,verwitwet,1,-
31.12.2020,Ausländer,weiblich,geschieden,1,-
31.12.2020,Ausländer,weiblich,Lebenspartnerschaft,1,-
31.12.2020,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,1,-
31.12.2020,Ausländer,weiblich,Lebenspartner verstorben,1,-
31.12.2021,Deutsche,männlich,ledig,1,345252
